X,Y,Population2030,Gridconnected-2012,Split,SA,MG,MINIMUMCOST,MINIMUMDISTANCE,DistancefromtheHVgrid(meters),Gridextensionsforthosegainingaccess,Urban/RuralSplit,Gainingaccesssettlements,Urbangainingaccesspopulation,Ruralgainingaccesspopulation,,,Urbangainingaccessinkm,Urbanpopulationgainingaccess,Urbangainingaccesssettlements,,GridUrbanPopulation,GridUrbanSettlements,MicroGridUrbanPopulation,MicroGridUrbanSettlements,,,,,,Split300,SA300,MG300,MINIMUMCOST300,MINIMUMDISTANCE300,,Split50,SA50,MG50,MINIMUMCOST50,MINIMUMDISTANCE50,,,GridUrbanPopulation,126761278,inhabitants
38.066667,9.416667,16242,0,Grid,,,0.177590511,5000,31026.20748,5000,Urban,1,16242,0,,,,,,,16242,1,0,0,,,,,,Grid,,,0.177590511,5000,,Grid,,,0.20448632,0.20448632,,,,,
37.066667,9.533333,14638,0,Grid,,,0.17934403,7500,34384.26948,7500,Urban,1,14638,0,,,,,,,14638,1,0,0,,,,,,Grid,,,0.17934403,7500,,Grid,,,0.207794377,0.209269773,,,,,
39.133333,12.366667,6983,0,Grid,,,0.189842605,7500,22806.61565,7500,Urban,1,6983,0,,,,,,,6983,1,0,0,,,,,,Grid,,,0.189842605,7500,,Grid,,,0.227328526,0.227328526,,,,,
38.016667,10.3,17008,0,Grid,,,0.177085351,5000,11675.55507,5000,Urban,1,17008,0,,,,,,,17008,1,0,0,,,,,,Grid,,,0.177085351,5000,,Grid,,,0.202909321,0.202909321,,,,,
38.2,6.083333,46352,1,Grid,,,0,2500,8273.964981,0,Urban,0,0,0,,,,,,,46352,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
37.883333,6.7,17139,0,Grid,,,0.178789515,12500,12096.75785,12500,Urban,1,17139,0,,,,,,,17139,1,0,0,,,,,,Grid,,,0.178789515,12500,,Grid,,,0.206424555,0.206424555,,,,,
34.783333,10.133333,1673,0,StandAlone,PV,,0.334625832,0.447,18435.22322,0.447,Rural,1,0,1673,,,,,,,0,0,0,0,,,,,,Grid,,,0.244579217,12500,,StandAlone,PV,,0.334625832,0.447,,,,,
38.466667,6.45,37296,0,Grid,,,0.176022623,7500,15563.98672,7500,Urban,1,37296,0,,,,,,,37296,1,0,0,,,,,,Grid,,,0.176022623,7500,,Grid,,,0.200981387,0.200981387,,,,,
35.85,7.216667,12292,0,Grid,,,0.18189311,10000,11576.74939,10000,Urban,1,12292,0,,,,,,,12292,1,0,0,,,,,,Grid,,,0.18189311,10000,,Grid,,,0.213450504,0.213450504,,,,,
38.2,9.266667,15764,0,Grid,,,0.177661799,5000,22517.96992,5000,Urban,1,15764,0,,,,,,,15764,1,0,0,,,,,,Grid,,,0.177661799,5000,,Grid,,,0.204162632,0.204162632,,,,,
38.95,12.316667,8339,0,Grid,,,0.187018415,7500,31415.26254,7500,Urban,1,8339,0,,,,,,,8339,1,0,0,,,,,,Grid,,,0.187018415,7500,,Grid,,,0.221807207,0.221807207,,,,,
43.633333,7.35,398,0,StandAlone,PV,,0.447,0.447,136897.1708,0,Rural,0,0,0,,,,,,,0,0,0,0,,,,,,MicroGrid,,Diesel,0.384499885,0,,StandAlone,PV,,0.447,0.447,,,,,
36.783333,9.35,9188,0,Grid,,,0.185292799,7500,31846.04159,7500,Urban,1,9188,0,,,,,,,9188,1,0,0,,,,,,Grid,,,0.185292799,7500,,Grid,,,0.219904014,0.219904014,,,,,
37.25,8.25,8984,1,Grid,,,0,2500,5532.450786,0,Urban,0,0,0,,,,,,,8984,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
38.1,9.066667,16024,1,Grid,,,0,2500,432.242803,0,Urban,0,0,0,,,,,,,16024,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
37.883333,9.083333,16059,1,Grid,,,0,2500,3574.932907,0,Urban,0,0,0,,,,,,,16059,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
36.466667,9.233333,6314,0,Grid,,,0.190038663,5000,15406.05801,5000,Urban,1,6314,0,,,,,,,6314,1,0,0,,,,,,Grid,,,0.190038663,5000,,Grid,,,0.229376919,0.229376919,,,,,
38.683333,9.616667,18831,1,Grid,,,0,2500,6192.839951,0,Urban,0,0,0,,,,,,,18831,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
38.8,9.733333,26017,1,Grid,,,0,2500,6934.313504,0,Urban,0,0,0,,,,,,,26017,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
37.183333,9.866667,4919,0,Grid,,,0.196535575,7500,34107.17702,7500,Urban,1,4919,0,,,,,,,4919,1,0,0,,,,,,Grid,,,0.196535575,7500,,StandAlone,Diesel,,0.242562606,0.7241,,,,,
36.333333,7.566667,20227,0,Grid,,,0.176564515,10000,21276.97907,10000,Urban,1,20227,0,,,,,,,20227,1,0,0,,,,,,Grid,,,0.176564515,10000,,Grid,,,0.20206477,0.20206477,,,,,
37.816667,11.533333,18602,0,Grid,,,0.176097756,5000,11341.71195,5000,Urban,1,18602,0,,,,,,,18602,1,0,0,,,,,,Grid,,,0.176097756,5000,,Grid,,,0.201130739,0.201130739,,,,,
38.833333,9.7,19168,0,Grid,,,0.175476377,2500,10387.20139,2500,Urban,1,19168,0,,,,,,,19168,1,0,0,,,,,,Grid,,,0.175476377,2500,,Grid,,,0.200358167,0.200358167,,,,,
39.716667,9.733333,12513,1,Grid,,,0,2500,5218.471367,0,Urban,0,0,0,,,,,,,12513,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
34.3,7.55,30,0,StandAlone,Diesel,,0.695,0.695,83918.33469,0,Rural,0,0,0,,,,,,,0,0,0,0,,,,,,StandAlone,Diesel,,0.695,0,,StandAlone,Diesel,,0.695,0.695,,,,,
42.5,9.3,27322,1,Grid,,,0,2500,3176.427428,0,Urban,0,0,0,,,,,,,27322,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
37.533333,9.3,11349,0,Grid,,,0.182308501,7500,12592.4526,7500,Urban,1,11349,0,,,,,,,11349,1,0,0,,,,,,Grid,,,0.182308501,7500,,Grid,,,0.213013964,0.213013964,,,,,
37.716667,9.716667,8725,0,Grid,,,0.185617306,7500,17312.38097,7500,Urban,1,8725,0,,,,,,,8725,1,0,0,,,,,,Grid,,,0.185617306,7500,,Grid,,,0.219744442,0.219744442,,,,,
38.166667,9.083333,16024,1,Grid,,,0,2500,1726.002072,0,Urban,0,0,0,,,,,,,16024,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
39.079722,14.441944,14275,0,Grid,,,0.179435709,7500,38066.09372,7500,Urban,1,14275,0,,,,,,,14275,1,0,0,,,,,,Grid,,,0.179435709,7500,,Grid,,,0.207566238,0.207566238,,,,,
39.05,12.6,5571,1,Grid,,,0,2500,2478.224996,0,Urban,0,0,0,,,,,,,5571,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
39.516667,12.533333,15969,1,Grid,,,0,2500,6014.241022,0,Urban,0,0,0,,,,,,,15969,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
35.333333,8.2,5381,0,Grid,,,0.19533644,7500,9849.658982,7500,Urban,1,5381,0,,,,,,,5381,1,0,0,,,,,,Grid,,,0.19533644,7500,,StandAlone,Diesel,,0.237478179,0.4913,,,,,
38.716667,10.283333,12951,0,Grid,,,0.182193698,12500,37982.28187,12500,Urban,1,12951,0,,,,,,,12951,1,0,0,,,,,,Grid,,,0.182193698,12500,,Grid,,,0.213143447,0.213143447,,,,,
37.566667,8.166667,17334,0,Grid,,,0.177180562,7500,9310.271669,7500,Urban,1,17334,0,,,,,,,17334,1,0,0,,,,,,Grid,,,0.177180562,7500,,Grid,,,0.203404019,0.203404019,,,,,
39.644722,14.038611,14876,0,Grid,,,0.178433404,5000,12371.70446,5000,Urban,1,14876,0,,,,,,,14876,1,0,0,,,,,,Grid,,,0.178433404,5000,,Grid,,,0.206218249,0.206218249,,,,,
39.633333,12.666667,8480,1,Grid,,,0,2500,1813.093992,0,Urban,0,0,0,,,,,,,8480,1,0,0,,,,,,Grid,,,0,2500,,Grid,,,0,0,,,,,
